product_id,product_name,product_type,unit_profitability,total_sold,total_revenue,avg_customer_age,gender_ratio,region_popularity,repeat_purchase_rate,avg_order_value,cluster,cluster_label
426,Denim,Jacket,99.42884250474384,527,52399,32.75,0.25,4,0.0,240.75,3,Mature / Declining Segment
114,Denim,Shirt,99.42884250474384,527,52399,42.666666666666664,0.3333333333333333,3,0.0,153.33333333333334,3,Mature / Declining Segment
108,Denim,Shirt,99.42884250474384,527,52399,49.25,0.25,4,0.0,207.0,3,Mature / Declining Segment
132,Denim,Shirt,99.42884250474384,527,52399,43.0,0.16666666666666666,6,0.0,214.66666666666666,3,Mature / Declining Segment
452,Denim,Jacket,99.42884250474384,527,52399,46.25,0.25,4,0.0,187.25,3,Mature / Declining Segment
134,Denim,Shirt,99.42884250474384,527,52399,51.75,0.125,8,0.0,207.0,3,Mature / Declining Segment
453,Denim,Jacket,99.42884250474384,527,52399,49.333333333333336,0.16666666666666666,6,0.0,231.83333333333334,3,Mature / Declining Segment
430,Denim,Jacket,99.42884250474384,527,52399,50.75,0.25,4,0.0,214.0,3,Mature / Declining Segment
138,Denim,Shirt,99.42884250474384,527,52399,54.833333333333336,0.16666666666666666,6,0.0,168.66666666666666,3,Mature / Declining Segment
429,Denim,Jacket,99.42884250474384,527,52399,56.8,0.0,5,0.0,192.6,3,Mature / Declining Segment
451,Denim,Jacket,99.42884250474384,527,52399,54.857142857142854,0.2857142857142857,7,0.0,183.42857142857142,3,Mature / Declining Segment
125,Denim,Shirt,99.42884250474384,527,52399,48.333333333333336,0.5,6,0.0,199.33333333333334,3,Mature / Declining Segment
436,Denim,Jacket,99.42884250474384,527,52399,45.0,0.0,2,0.0,160.5,3,Mature / Declining Segment
442,Denim,Jacket,99.42884250474384,527,52399,58.166666666666664,0.16666666666666666,6,0.0,214.0,3,Mature / Declining Segment
126,Denim,Shirt,99.42884250474384,527,52399,41.857142857142854,0.14285714285714285,7,0.0,157.71428571428572,3,Mature / Declining Segment
434,Denim,Jacket,99.42884250474384,527,52399,53.5,0.0,4,0.0,187.25,3,Mature / Declining Segment
444,Denim,Jacket,99.42884250474384,527,52399,53.4,0.0,5,0.0,192.6,3,Mature / Declining Segment
120,Denim,Shirt,99.42884250474384,527,52399,45.57142857142857,0.0,7,0.0,184.0,3,Mature / Declining Segment
431,Denim,Jacket,99.42884250474384,527,52399,46.5,0.16666666666666666,6,0.0,267.5,3,Mature / Declining Segment
110,Denim,Shirt,99.42884250474384,527,52399,50.75,0.0,4,0.0,161.0,3,Mature / Declining Segment
137,Denim,Shirt,99.42884250474384,527,52399,39.5,0.0,4,0.0,184.0,3,Mature / Declining Segment
121,Denim,Shirt,99.42884250474384,527,52399,47.8,0.0,5,0.0,92.0,3,Mature / Declining Segment
420,Denim,Jacket,99.42884250474384,527,52399,54.0,0.0,5,0.0,235.4,3,Mature / Declining Segment
106,Denim,Shirt,99.42884250474384,527,52399,49.5,0.5,2,0.0,184.0,3,Mature / Declining Segment
428,Denim,Jacket,99.42884250474384,527,52399,36.75,0.0,4,0.0,187.25,3,Mature / Declining Segment
131,Denim,Shirt,99.42884250474384,527,52399,44.2,0.2,5,0.0,165.6,3,Mature / Declining Segment
423,Denim,Jacket,99.42884250474384,527,52399,78.0,0.0,1,0.0,107.0,3,Mature / Declining Segment
438,Denim,Jacket,99.42884250474384,527,52399,26.0,1.0,1,0.0,214.0,3,Mature / Declining Segment
130,Denim,Shirt,99.42884250474384,527,52399,63.4,0.4,5,0.0,202.4,3,Mature / Declining Segment
118,Denim,Shirt,99.42884250474384,527,52399,43.125,0.125,8,0.0,138.0,3,Mature / Declining Segment
117,Denim,Shirt,99.42884250474384,527,52399,42.0,0.0,2,0.0,92.0,3,Mature / Declining Segment
437,Denim,Jacket,99.42884250474384,527,52399,41.625,0.125,8,0.0,160.5,3,Mature / Declining Segment
122,Denim,Shirt,99.42884250474384,527,52399,49.0,0.0,2,0.0,184.0,3,Mature / Declining Segment
